svlId,svlRecId,channelId,brdcstType,nwMask,optionMask,serviceType,channelNumber,serviceName,frequency,brdcstMedium,favorites1Index,favorites2Index,favorites3Index,favorites4Index,tslId,tslRecId,nwlId,nwlRecId,satlId,satlRecId,shortName,bandWidth,nwId,onId,tsId,progId,symRate,mod,pol,satRecId,nwName,barkerMask,sdtServiceType,hbbtvStatus,svcProName,mfType,categoryMask
3,386,160432257,2,1057295,512,1,612,FLASH HABER HD,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50801,30005,2,2,7,TURKSAT,0,25,0,,0,0
3,387,160694401,2,1057295,512,1,613,FM TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50826,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,388,160956545,2,1057295,512,1,614,HRT TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50829,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,389,161218689,2,1057295,512,1,615,KADIRGA TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50800,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,392,162005121,2,1057295,512,1,618,MELTEM TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50807,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,393,162267265,2,1057295,512,1,619,REHBER TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50818,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,396,163053697,2,1057295,512,1,622,ULUSAL 1 TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50832,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,436,173539457,2,1057295,512,1,662,EKï¿½ï¿½NTï¿½,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1343,27492,2,2,7,DEMIROREN MEDYA,1,1,0,,0,0
3,438,174063745,2,1059343,8704,1,664,PROGRAM 1364,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1364,27492,2,2,7,DEMIROREN MEDYA,1,25,0,,0,0
3,439,174325889,2,1057295,512,1,665,SERHAT TV,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1305,27492,2,2,7,DEMIROREN MEDYA,1,1,0,,0,0
